nohup: ignoring input
═══════════════════════════════════════════════════
 Speech Separation Training — tasnet
═══════════════════════════════════════════════════
 Device:     CUDA
 Data:       ./data/Libri2Mix/Libri2Mix/wav8k/min/train-360
 Epochs:     100
 Batch:      4 (effective 4 with 1x accum)
 LR:         0.001 (warmup 5 epochs, min 1e-06)
 SR:         8000 Hz
 Segment:    32000 (4s)
 Workers:    4
 Augment:    yes
 Ckpt dir:   ./checkpoints
═══════════════════════════════════════════════════

  [GPU] CUDA device available, 1 GPU(s)
Train CSV: ./data/Libri2Mix/Libri2Mix/wav8k/min/train-360/mixture_train-360_mix_clean.csv
Val CSV:   ./data/Libri2Mix/Libri2Mix/wav8k/min/dev/mixture_dev_mix_clean.csv
[LibriMix] 50800 examples from ./data/Libri2Mix/Libri2Mix/wav8k/min/train-360/mixture_train-360_mix_clean.csv
[LibriMix] CSV columns: mix=1 s1=2 s2=3
Parameters: 8.20173M

  [GPU] CUDA device available, 1 GPU(s)

  [Ep   1/100] 13.8% │ SI-SNR: 3.25 dB │ Loss: -3.2514 │ 804s │ LR: 2e-04       
  [Ep   1/100] 14.0% │ SI-SNR: 3.27 dB │ Loss: -3.2705 │ 815s │ LR: 2e-04       
  [Ep   1/100] 14.2% │ SI-SNR: 3.29 dB │ Loss: -3.2853 │ 827s │ LR: 2e-04       
  [Ep   1/100] 14.4% │ SI-SNR: 3.30 dB │ Loss: -3.3045 │ 838s │ LR: 2e-04       
  [Ep   1/100] 14.6% │ SI-SNR: 3.32 dB │ Loss: -3.3220 │ 850s │ LR: 2e-04       
  [Ep   1/100] 14.8% │ SI-SNR: 3.35 dB │ Loss: -3.3481 │ 861s │ LR: 2e-04       
  [Ep   1/100] 15.0% │ SI-SNR: 3.37 dB │ Loss: -3.3711 │ 873s │ LR: 2e-04       
  [Ep   1/100] 15.2% │ SI-SNR: 3.40 dB │ Loss: -3.3992 │ 885s │ LR: 2e-04       
  [Ep   1/100] 15.4% │ SI-SNR: 3.41 dB │ Loss: -3.4099 │ 896s │ LR: 2e-04       
  [Ep   1/100] 15.6% │ SI-SNR: 3.42 dB │ Loss: -3.4227 │ 908s │ LR: 2e-04       
  [Ep   1/100] 15.7% │ SI-SNR: 3.44 dB │ Loss: -3.4431 │ 919s │ LR: 2e-04       
  [Ep   1/100] 15.9% │ SI-SNR: 3.46 dB │ Loss: -3.4598 │ 931s │ LR: 2e-04       
  [Ep   1/100] 16.1% │ SI-SNR: 3.48 dB │ Loss: -3.4779 │ 942s │ LR: 2e-04       
  [Ep   1/100] 16.3% │ SI-SNR: 3.50 dB │ Loss: -3.5008 │ 954s │ LR: 2e-04       
  [Ep   1/100] 16.5% │ SI-SNR: 3.51 dB │ Loss: -3.5107 │ 965s │ LR: 2e-04       
